id,benchmark,category,task,score_l3,score_l2,same_text,decode_l3,decode_l2,tokens_l3,tokens_l2
livebench-d761bf4d5741e128fca776f16db3dd1d6265291dc5dbe0831033d5918188ada0,livebench,coding,LCB_generation,1.0,1.0,False,10.096249595132281,11.388563163696551,125,125
livebench-558c3c463860fcaa2b08edd9d5f0f11071944bf7d9229574862a92e6d91f1a21,livebench,math,olympiad,0.1428571428571429,0.1428571428571429,False,9.347351154426628,9.560134845642377,2048,2048
livebench-1845745b3354782800cff1a055131c3e64c58719dced8d96d69083ab210e0391,livebench,data_analysis,cta,1.0,1.0,True,3.609464789335797,3.5413684369836167,2,2
ifeval-2787,ifeval,instruction_following,keywords:letter_frequency,1.0,1.0,False,6.007189533093288,5.930567184573811,80,80
livebench-b9341bc879a4d873f1bd6cd763e2bd57caf3946c736f8c446bead3bf8420734c,livebench,language,connections,0.0,0.0,False,10.190282763076564,10.558740268798326,603,644
livebench-4f78225af2661b5b2f22f126fba54723cdbd02e16a8f89fe024f9f21fd54248b,livebench,reasoning,spatial,0.0,0.0,False,8.695625028070365,9.13697653224874,2048,2048
livebench-5ced71fafeb7058ec2edec54fe4022058381689584152f36fba4aec109081931,livebench,coding,coding_completion,1.0,1.0,True,9.76380643751518,10.747643247334675,58,58
livebench-96bf60de6944396a3ac549a25a2c5cb2cbcd1f30eec8203fb96e29622e14b711,livebench,math,math_comp,0.0,1.0,False,10.56745652169744,11.434968341320486,2048,2003
livebench-ed3a1cf09c7eefe66d4775384c633a1bbc48f09a7d2257028362479f057d7e3e,livebench,data_analysis,tablereformat,1.0,1.0,True,13.434126855909978,14.060967814684776,239,239
ifeval-1561,ifeval,instruction_following,combination:repeat_prompt,1.0,1.0,True,10.05645710198111,10.628757086499892,54,54
livebench-4e6a2f4b591b9eb1b40b0d517173f1d1813cfc377f2f4b754533eee88e96cd61,livebench,language,plot_unscrambling,0.35,0.32499999999999996,False,11.979371976047515,11.912051229405884,919,919
livebench-d99123f5dae428ffc74487c853ff6a440a5d3f3ffdc47006175db53ff4a5054c,livebench,reasoning,zebra_puzzle,0.0,0.0,False,10.922396652516873,10.616786849025093,2048,2048
livebench-75a3057122fddbd336b3e9a664d6254556cc1854312b07188cb719b9636a0acc,livebench,coding,LCB_generation,1.0,1.0,True,13.698942367640852,13.51209464141917,144,144
livebench-2bf39d2a017c631acb9635c4dcf9666dd4ae647119d877deab34a5b3ff94b869,livebench,math,AMPS_Hard,1.0,1.0,False,11.34705279156116,12.106017819882382,714,613
livebench-dc753a46614f7f4d1c839d06ec864324f8b6142e30bf804dae6aae8b6eb91941,livebench,data_analysis,tablejoin,0.43,0.43,True,12.170938005151113,11.922931695645424,130,130
ifeval-1927,ifeval,instruction_following,detectable_content:number_placeholders,1.0,1.0,False,7.664164553652658,7.373698111570976,178,189
ifeval-3166,ifeval,instruction_following,keywords:forbidden_words,1.0,1.0,False,7.195895647255218,7.954422232494135,55,78
ifeval-1893,ifeval,instruction_following,startend:end_checker,1.0,1.0,False,6.014164176935562,6.496476715527984,412,355
ifeval-3073,ifeval,instruction_following,length_constraints:nth_paragraph_first_word,1.0,1.0,False,6.375899549121639,6.375806653921675,221,185
ifeval-2925,ifeval,instruction_following,detectable_format:multiple_sections,1.0,1.0,False,6.19854134450018,7.141531710041322,128,129
ifeval-1466,ifeval,instruction_following,startend:quotation,1.0,1.0,False,5.336471812556456,5.598672205762186,347,316
ifeval-1393,ifeval,instruction_following,keywords:frequency,1.0,1.0,False,7.103852198954036,6.977615750176201,445,434
ifeval-1858,ifeval,instruction_following,length_constraints:number_paragraphs,1.0,1.0,False,5.78977043772516,5.890604741871306,474,460
ifeval-2817,ifeval,instruction_following,change_case:english_lowercase,1.0,1.0,False,5.4632751702484255,5.437561230213275,148,147
ifeval-3755,ifeval,instruction_following,detectable_format:constrained_response,1.0,1.0,True,8.504241949855293,7.943011655448082,5,5
ifeval-1705,ifeval,instruction_following,detectable_content:postscript,1.0,1.0,False,7.536186158569972,7.682387506395093,213,286
ifeval-2309,ifeval,instruction_following,language:response_language,1.0,1.0,True,5.165730660358654,4.859824959711358,38,38
ifeval-3718,ifeval,instruction_following,detectable_format:title,0.0,0.0,False,8.330554233130313,7.849796473298993,334,334
ifeval-164,ifeval,instruction_following,length_constraints:number_words,0.0,1.0,False,5.824019978456407,6.905672364221136,361,307
ifeval-1219,ifeval,instruction_following,change_case:english_capital,1.0,1.0,True,8.465526237748518,7.783115477336035,191,191
ifeval-2591,ifeval,instruction_following,detectable_format:json_format,1.0,1.0,False,8.207877740900223,8.590430730953873,569,525
ifeval-2844,ifeval,instruction_following,detectable_format:number_highlighted_sections,1.0,1.0,False,5.221561139717989,5.297211131110515,318,316
ifeval-3455,ifeval,instruction_following,change_case:capital_word_frequency,0.0,0.0,False,6.212987981095697,5.976578058769029,136,173
ifeval-2683,ifeval,instruction_following,combination:two_responses,1.0,1.0,False,6.7887380561507635,5.918810644283034,148,151
ifeval-3041,ifeval,instruction_following,length_constraints:number_sentences,1.0,1.0,False,5.4007448071559585,5.818814155236758,134,140
ifeval-2311,ifeval,instruction_following,punctuation:no_comma,1.0,1.0,False,6.913365036702523,7.5173145503635626,104,101
ifeval-2195,ifeval,instruction_following,detectable_format:number_bullet_lists,1.0,1.0,False,6.4941217021050655,7.336803662056383,159,158
ifeval-3156,ifeval,instruction_following,keywords:existence,1.0,1.0,False,6.803434820517264,7.114453888080412,271,272
ifeval-1964,ifeval,instruction_following,keywords:letter_frequency,0.0,0.0,False,5.2586895064846235,5.403033078589547,120,130
ifeval-2071,ifeval,instruction_following,combination:repeat_prompt,1.0,1.0,False,7.749074080044581,7.600584812494677,152,138
ifeval-1372,ifeval,instruction_following,detectable_content:number_placeholders,1.0,1.0,False,6.748238935808656,6.49269943031483,473,504
ifeval-1675,ifeval,instruction_following,keywords:forbidden_words,0.0,0.0,False,10.04252219627825,8.228186231012032,192,333
ifeval-3198,ifeval,instruction_following,startend:end_checker,1.0,1.0,False,9.109845519325763,8.300324973753776,298,263
ifeval-2880,ifeval,instruction_following,length_constraints:nth_paragraph_first_word,1.0,1.0,False,6.88477853247146,7.574251707194382,408,390
ifeval-2023,ifeval,instruction_following,detectable_format:multiple_sections,1.0,1.0,False,5.8326525532143405,5.850645317714579,337,338
ifeval-2532,ifeval,instruction_following,startend:quotation,1.0,1.0,False,6.060692783603429,6.455608430143661,113,181
ifeval-2716,ifeval,instruction_following,keywords:frequency,1.0,1.0,False,6.108664977325446,6.14875608518557,80,66
ifeval-1248,ifeval,instruction_following,length_constraints:number_paragraphs,1.0,1.0,False,5.490433926204305,5.355153953984885,409,413
ifeval-3534,ifeval,instruction_following,change_case:english_lowercase,1.0,1.0,False,5.732003284612488,6.088577623717943,305,294
ifeval-3754,ifeval,instruction_following,detectable_format:constrained_response,1.0,1.0,True,6.2680360680863405,5.952542955454186,5,5
